|redshift|flux_20_cm|log_bh_mass|log_lbol|log_lbol_ledd|rf_flux_6_cm|radio_class|
|  1.1035|    1.5237|      8.623|  45.573|       -1.164|      1.2104|RL         |
|  1.1050|          |      8.561|  45.267|       -1.408|            |ndRI       |
|  1.1107|          |      8.483|  44.730|       -1.868|            |NC         |
|  1.1109|          |      8.724|  45.773|       -1.065|            |NC         |
|  1.1119|          |      8.910|  46.589|       -0.435|            |ndRI       |
|  1.1122|          |      8.077|  46.296|        0.105|            |NC         |
|  1.1130|          |      8.588|  45.546|       -1.156|            |ndRI       |
|  1.1168|          |      8.660|  46.370|       -0.404|            |ndRI       |
|  1.1181|          |      8.759|  45.967|       -0.905|            |ndRI       |
|  1.1181|          |      8.606|  45.948|       -0.771|            |ndRI       |
|  1.1203|          |      8.593|  46.107|       -0.600|            |           |
|  1.1208|          |      8.626|  46.007|       -0.733|            |ndRI       |
|  1.1294|          |      9.241|  46.276|       -1.078|            |NC         |
|  1.1296|          |      9.527|  45.933|       -1.708|            |ndRI       |
|  1.1315|          |      8.926|  45.659|       -1.381|            |ndRI       |
|  1.1328|   98.5104|      8.285|  46.431|        0.032|     78.7992|RL         |
|  1.1343|          |      8.440|  44.947|       -1.607|            |NC         |
|  1.1351|          |      8.707|  45.356|       -1.465|            |ndRI       |
|  1.1356|   11.8717|      8.639|  45.903|       -0.850|      9.5024|ndRI       |
|  1.1363|          |      8.625|  46.667|       -0.071|            |ndRI       |
|  1.1382|          |      8.151|  45.675|       -0.589|            |NC         |
|  1.1422|          |      8.953|  46.143|       -0.923|            |ndRI       |
|  1.1423|          |      8.507|  46.333|       -0.288|            |ndRI       |
|  1.1507|          |      8.680|  46.953|        0.159|            |ndRI       |
|  1.1507|          |      9.551|  46.234|       -1.431|            |ndRI       |
|  1.1525|          |      9.045|  45.793|       -1.367|            |ndRI       |
|  1.1534|          |      9.293|  46.271|       -1.136|            |ndRI       |
|  1.1555|          |      9.347|  47.174|       -0.286|            |ndRI       |
|  1.1557|          |      8.738|  46.003|       -0.849|            |ndRI       |
|  1.1558|          |      9.064|  46.423|       -0.755|            |ndRI       |
|  1.1565|    0.7831|      7.926|  46.579|        0.539|      0.6299|RL         |
|  1.1580|          |      8.743|  45.480|       -1.377|            |ndRI       |
|  1.1582|          |      9.235|  46.756|       -0.593|            |ndRI       |
|  1.1604|          |      9.050|  45.600|       -1.564|            |ndRI       |
|  1.1607|          |      8.277|  46.255|       -0.136|            |NC         |
|  1.1628|          |      9.297|  46.086|       -1.325|            |ndRI       |
|  1.1630|          |      8.703|  45.326|       -1.491|            |NC         |
|  1.1637|          |      8.081|  43.990|       -2.205|            |NC         |
|  1.1637|          |      8.810|  46.518|       -0.407|            |ndRI       |
|  1.1661|          |      9.182|  46.291|       -1.005|            |ndRI       |
|  1.1688|          |      9.242|  46.924|       -0.432|            |ndRI       |
|  1.1696|          |      8.488|  45.547|       -1.055|            |NC         |
|  1.1718|          |      8.558|  45.789|       -0.882|            |NC         |
|  1.1736|          |      8.365|  45.797|       -0.682|            |NC         |
|  1.1784|          |      8.877|  45.858|       -1.133|            |NC         |
|  1.1785|          |      9.749|  46.155|       -1.708|            |ndRI       |
|  1.1789|          |      9.071|  46.508|       -0.677|            |ndRI       |
|  1.1796|          |      8.338|  45.150|       -1.302|            |ndRI       |
|  1.1814|          |      8.921|  46.055|       -0.980|            |ndRI       |
|  1.1824|          |      9.001|  46.169|       -0.946|            |ndRI       |
|  1.1842|    6.4492|      8.640|  45.307|       -1.446|      5.2205|RL         |
|  1.1843|          |      8.782|  46.451|       -0.445|            |ndRI       |
|  1.1858|          |      8.557|  46.149|       -0.522|            |ndRI       |
|  1.1871|          |      8.833|  46.449|       -0.498|            |ndRI       |
|  1.1883|          |      8.735|  45.701|       -1.148|            |NC         |
|  1.1901|          |      9.493|  46.503|       -1.104|            |NC         |
|  1.1904|          |      9.114|  46.027|       -1.200|            |ndRI       |
|  1.1933|          |      9.267|  46.369|       -1.012|            |NC         |
|  1.1953|          |      8.828|  45.970|       -0.972|            |ndRI       |
|  1.1966|          |      8.916|  46.672|       -0.358|            |NC         |
|  1.1993|          |      8.114|  45.347|       -0.881|            |NC         |
|  1.2012|          |      8.342|  45.495|       -0.961|            |NC         |
|  1.2027|          |      8.884|  45.945|       -1.053|            |ndRI       |
|  1.2046|          |      8.429|  46.808|        0.266|            |NC         |
|  1.2049|    1.5475|      8.922|  46.179|       -0.857|      1.2586|dRI        |
|  1.2069|          |      9.082|  46.392|       -0.804|            |NC         |
|  1.2075|          |      9.203|  46.944|       -0.372|            |ndRI       |
|  1.2077|    0.9770|      8.627|  45.821|       -0.919|      0.7951|RL         |
|  1.2118|   48.3584|      8.302|  47.009|        0.593|     39.3914|RL         |
|  1.2130|          |      8.267|  46.541|        0.160|            |NC         |
|  1.2133|          |      9.117|  45.784|       -1.447|            |ndRI       |
|  1.2157|          |      9.136|  45.894|       -1.357|            |ndRI       |
|  1.2166|          |      9.086|  45.737|       -1.464|            |ndRI       |
|  1.2215|          |      8.782|  46.184|       -0.712|            |           |
|  1.2216|          |      9.066|  46.209|       -0.972|            |ndRI       |
|  1.2234|          |      9.093|  46.484|       -0.723|            |ndRI       |
|  1.2256|          |      8.480|  45.771|       -0.823|            |           |
|  1.2270|          |      9.195|  46.415|       -0.893|            |ndRI       |
|  1.2294|          |      8.468|  45.819|       -0.764|            |ndRI       |
|  1.2321|          |      8.872|  46.491|       -0.495|            |NC         |
|  1.2321|          |      8.989|  45.745|       -1.358|            |NC         |
|  1.2339|          |      9.230|  46.249|       -1.095|            |NC         |
|  1.2346|          |      9.033|  46.415|       -0.733|            |NC         |
|  1.2346|   10.9869|      9.157|  45.455|       -1.816|      8.9958|NC         |
|  1.2348|          |      9.183|  46.383|       -0.913|            |ndRI       |
|  1.2355|          |      8.415|  46.046|       -0.483|            |NC         |
|  1.2358|          |      8.773|  45.904|       -0.982|            |NC         |
|  1.2445|          |      8.370|  45.103|       -1.381|            |           |
|  1.2482|          |      8.622|  45.921|       -0.815|            |ndRI       |
|  1.2485|          |      9.171|  44.974|       -2.311|            |ndRI       |
|  1.2492|          |      8.506|  45.217|       -1.403|            |ndRI       |
|  1.2510|          |      8.572|  46.020|       -0.666|            |ndRI       |
|  1.2542|          |      9.016|  47.021|       -0.109|            |ndRI       |
|  1.2543|          |      8.714|  46.003|       -0.825|            |ndRI       |
|  1.2591|          |      8.737|  46.008|       -0.843|            |NC         |
